"model","AICc","AIC","BIC"
"VAR(2) sqrt",-13397.4773821696,-14200.7114247228,-12552.3175350169
"VAR(2) sqrt + trend",-13354.4373234097,-14236.5127951078,-12538.1675754108
"VAR(2) sqrt + seasonality",-13294.0066198132,-14262.1499422888,-12513.8533926007
"VAR(3) sqrt",-11968.4105106494,-14236.4298343209,-12039.2702318019
"VAR(2) Box-Cox(0.5)",-2782.20252142838,-3664.27799312649,-1965.93277342947
"VAR East Coast only",-2629.05172916376,-2631.86139683747,-2495.63049686177
