"origin_date","location","target_end_date","observation","q0.01","q0.025","q0.05","q0.1","q0.15","q0.2","q0.25","q0.3","q0.35","q0.4","q0.45","q0.5","q0.55","q0.6","q0.65","q0.7","q0.75","q0.8","q0.85","q0.9","q0.95","q0.975","q0.99","median_forecast","abs_error","interval_50","interval_80","interval_90","interval_96","interval_98","coverage_50","coverage_80","coverage_90","coverage_96","coverage_98","n_intervals","wis"
2017-10-21,"HHS Region 1",2017-10-28,0.972133,0.463471190469344,0.49984930216233,0.579251555204058,0.708666937755603,0.721555742652287,0.753726428674628,0.787169265782223,0.809692300442971,0.832432394653789,0.859186929155943,0.877791854488457,0.886454970288191,0.902740036357692,0.913352502359656,0.9258231913662,0.933804746116045,0.960110602645264,0.990713201893032,1.03413893567481,1.15747892550869,1.22066346036535,1.34221669045403,1.41481737204634,0.886454970288191,0.085678029711809,0.221030926281985,0.448811987753087,0.641411905161292,0.8423673882917,0.951346181576996,FALSE,TRUE,TRUE,TRUE,TRUE,5,0.574701149681184
2017-10-21,"HHS Region 1",2017-11-04,0.948321,0.314584120711755,0.495177832432612,0.612973561295162,0.70308206174347,0.745569532450585,0.776885283998339,0.795619927412414,0.826148013201912,0.838918951826806,0.877181689124892,0.904573307826686,0.91669196749529,0.940468434057086,0.965298400862589,0.980814522505129,1.03598282693291,1.0733335997653,1.08884490927298,1.15205446082277,1.19067708395279,1.30919341918292,1.42325669772084,1.74268328194899,0.91669196749529,0.0316290325047099,0.277713672352886,0.48759502220932,0.696219857887758,0.928078865288228,1.42809916123723,TRUE,TRUE,TRUE,TRUE,TRUE,5,0.695530529447356
2017-10-21,"HHS Region 1",2017-11-11,1.08227,0.42183766830613,0.482346506754402,0.497074623644494,0.578968322674867,0.627724350812419,0.669806405701094,0.690826221886028,0.726567011000184,0.759629206684411,0.780041877020637,0.791192616090319,0.804970570199677,0.819845128610876,0.842983813434816,0.866725785641266,0.884926005287185,0.917044565249961,0.951743845493257,0.989150500624821,1.04942171435719,1.15568781441216,1.45819316867607,1.61295479956822,0.804970570199677,0.277299429800323,0.887120082364089,0.798936248110424,0.658613190767666,0.975846661921668,1.19111713126209,FALSE,FALSE,TRUE,TRUE,TRUE,5,0.811373585048651
2017-10-21,"HHS Region 1",2017-11-18,1.19375,0.230575537370275,0.239005750175752,0.345329977651817,0.494847535261872,0.528119167665081,0.550670407133042,0.578223908837261,0.627517357352949,0.638412315166116,0.664446728252428,0.686558411179494,0.710178150128268,0.739064473150564,0.768917777323561,0.789820113909154,0.820139789104144,0.840582954107765,0.874940882840157,0.933785533655707,0.997483158413349,1.1395147502532,1.30004779874127,1.36613062777432,0.710178150128268,0.483571849871732,1.67502722883944,2.46530403901799,1.87888976753739,1.06104204856552,1.13555509040405,FALSE,FALSE,FALSE,TRUE,TRUE,5,1.42315476830167
2017-10-21,"HHS Region 10",2017-10-28,0.706956,0.393522629194473,0.461739793375427,0.493684251967793,0.511410506456626,0.582881137642566,0.615186752875883,0.66050447642606,0.71560133206806,0.729799476451762,0.762676729373335,0.78163137753856,0.820742405386016,0.880785924245864,0.898203051431574,0.938348562696984,0.959605034350877,0.980098243303048,1.04973508133285,1.08015442721438,1.15009592615967,1.82825997900462,1.8989216902115,2.01043837459918,0.820742405386016,0.113786405386016,0.319593766876988,0.638685419703044,1.33457572703683,1.43718189683607,1.61691574540471,TRUE,TRUE,TRUE,TRUE,TRUE,5,0.989984366075866
2017-10-21,"HHS Region 10",2017-11-04,0.956682,0.122606658964573,0.189066349985322,0.282497766581647,0.347329339294778,0.453735801767218,0.494644421322214,0.55924475969562,0.594186125844421,0.664521184396352,0.700834947933399,0.728225813133734,0.759081122827887,0.782740920949988,0.835919918057863,0.869290241842827,0.904793604043411,0.93528030587838,0.973867859192887,1.10072218876302,1.33935302193948,1.5779517864439,1.68387516771636,2.2309842917458,0.759081122827887,0.197600877172113,0.46164232266924,0.992023682644702,1.29545401986225,1.49480881773104,2.10837763278123,FALSE,TRUE,TRUE,TRUE,TRUE,5,1.17783522952918
2017-10-21,"HHS Region 10",2017-11-11,1.00098,0.208392249481896,0.268473349275272,0.374558570049745,0.47207124941924,0.523864749946996,0.621489395645064,0.720711761615238,0.764613887305643,0.815164215144245,0.847356405338875,0.911517946250876,0.929257636005227,0.96200750066876,1.01995173984423,1.05465067104526,1.12995933192545,1.17294584212824,1.26824660131103,1.31296069538057,1.50110411184464,1.8510136969982,2.36215221192875,3.13062934475523,0.929257636005227,0.0717223639947729,0.452234080513002,1.0290328624254,1.47645512694845,2.09367886265348,2.92223709527333,TRUE,TRUE,TRUE,TRUE,TRUE,5,1.46471987399208
2017-10-21,"HHS Region 10",2017-11-18,0.929811,0.137347589594372,0.192752161782186,0.218383196963567,0.362373923165339,0.43200469259563,0.516407536236199,0.545422074990178,0.574897845928311,0.64184722395291,0.679781787649923,0.762350941642677,0.797862760887668,0.857365330856134,0.940518029792493,0.973813833372278,1.01226955660762,1.05243028497879,1.13469799604946,1.30249940424835,1.34931319841801,1.5135669353192,2.04022103433144,2.57202349854005,0.797862760887668,0.131948239112332,0.507008209988612,0.986939275252671,1.29518373835563,1.84746887254925,2.43467590894568,TRUE,TRUE,TRUE,TRUE,TRUE,5,1.30004432744858
2017-10-21,"HHS Region 2",2017-10-28,2.09091,1.0590477485583,1.14422071125366,1.37850130049324,1.47642566002224,1.54174181098248,1.58155090675389,1.63319377752691,1.68278176338236,1.7260975332338,1.76153923714029,1.79911020819954,1.82592629013665,1.86965127040337,1.88814878763011,1.91288659638944,1.97817773701387,2.04092320247444,2.06527160783976,2.13934793202456,2.23066743611901,2.46589850548345,2.7749570186707,2.889347089806,1.82592629013665,0.26498370986335,0.60767661504977,0.75424177609677,1.08739720499021,1.63073630741704,1.8302993412477,FALSE,TRUE,TRUE,TRUE,TRUE,5,1.10201462645999
2017-10-21,"HHS Region 2",2017-11-04,2.41627,0.786410714842536,0.917942857432767,1.12485286341553,1.21815249057496,1.32789872124803,1.42243373497131,1.45227854169555,1.52512219880414,1.58370112613786,1.6313171731806,1.68207191887877,1.72788338562052,1.7510965453126,1.78226320241054,1.81852765918149,1.86322181216836,1.94379251054505,1.97475272622187,2.06348665023632,2.12349789986781,2.69438528223933,2.88554756539994,3.61047271651537,1.72788338562052,0.68838661437948,2.3814239266693,3.83306641061475,1.5695324188238,1.96760470796717,2.82406200167283,FALSE,FALSE,TRUE,TRUE,TRUE,5,2.20292243288704
