"model","AICc","AIC","BIC"
"VAR(2) baseline",-13397.4773821696,-14200.7114247228,-12552.3175350169
"VAR(2) + harmonics K=1",-13294.3913771227,-14262.5346995983,-12514.2381499102
"VAR(2) + season dummies",-13163.8547085693,-14226.0979518125,-12427.8500721333
"VAR(2) + harmonics K=2",-13084.8815542408,-14250.1868173987,-12401.9876077284
"VAR(4) baseline",-5542.53671258097,-14169.1249478751,-11423.5503544956
